category_id,drug_N,제품명,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?
12,K-000779,스파부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환)에 사용.","성인은 1회 1~2정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
13,K-000836,타라부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환)에 사용.","성인은 1회 1~2정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
14,K-001029,부루펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정, 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정, 1일 3~4회 복용. 권장용량을 초과하여 복용하지 마십시오. 연령, 증상에 따라 적절히 증감하십시오."
15,K-001061,파자임밀리그램이중정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 가스제거에 사용.","성인은 1회 1정씩, 1일 3회 식후에 복용."
16,K-001330,크로낙정,"근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용.","성인은 1회 1~2정, 1일 3회 복용."
17,K-001527,에세푸릴캡슐,급성 세균성 설사에 사용.,"성인은 1회 1캡슐씩, 1일 4회 복용. 3일 이상 복용하지 않습니다. 복용 기간 동안 수분을 공급하고 설사의 심각도, 환자의 나이와 상태에 따라 수분의 정도와 공급방법을 조절."
18,K-001728,디크로닉정,"근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용.","성인은 1회 1~2정, 1일 3회 복용."
19,K-001743,신일트리메부틴말레산염정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환)에 사용.","성인은 1회 1~2정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
20,K-001862,베아제정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인 1회 1정 1일 3회 식후에 복용.
21,K-001866,알마겔정,"위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용.","성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
22,K-002031,자비론정,불면증의 보조치료 및 진정에 사용.,성인은 1일 1회 1정을 반드시 수면 30분 전에 복용. 연령과 증상에 따라 적절히 증강할 수 있습니다.
23,K-002049,크라운소브레롤캅셀,"급·만성기관지염, 호흡장애를 수반한 기관지염, 비인두염, 후두기관염 등 분비기능이 항진된 급·만성 호흡기 장애에 사용.","성인은 1회 2캡슐씩, 1일 2회 복용."
24,K-002074,젠텔정,"회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용.","성인 및 24개월 이상의 소아는 요충에 감염된 경우 1일 1회 1정 복용. 박멸을 위하여 7일 뒤, 한번만 더 1정을 복용. 회충, 십이지장충, 편충, 아메리카구충에 감염된 경우 1정을 단회 복용. 분선충의 다른 기생충과 중증 혼합 감염시 1일 1회 1정씩 3일간 복용. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다."
25,K-002160,젤콤정,"회충, 요충, 편충, 십이지장충의 감염 및 이들 혼합감염의 치료에 사용.",성인 및 소아는 1정을 1회 복용.
26,K-002169,베스타제포르테정,"소화불량, 식욕감퇴, 과식, 식체, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인은 1회 1정을 1일 3회 식후에 복용.
27,K-002186,타라부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환에 사용.","성인은 1회 0.5~1정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
28,K-002240,이부펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1 / 2 정~1.5정, 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정, 1일 3~4회 복용. 11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여. 체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직. 권장용량을 초과하여 복용하지 마십시오."
29,K-002256,크록신정,"근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용.","성인은 1회 1 / 2 ~1정, 1일 3회 복용."
30,K-002257,트리마정,"식도역류 및 열공헤르니아, 위 십이지장염, 위·십이지장궤양에 있어서의 소화기능이상, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환)에 사용.","성인은 1회 0.5~1정씩, 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
31,K-002275,오스테민캡슐결정,경증에서 중등도의 골관절염에 사용.,성인은 1회 2캡슐 1일 3회 6주간 복용.
32,K-002495,대화이부프로펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1 / 2 정~1.5정, 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정, 1일 3~4회 복용. 11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여. 체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직. 권장용량을 초과하여 복용하지 마십시오."
33,K-002536,스메르정,불면증의 보조치료 및 진정에 사용.,성인은 1일 1회 1정을 반드시 수면 30분 전에 복용. 연령과 증상에 따라 적절히 증강할 수 있습니다.
34,K-002596,애드칼정,"칼슘 결핍 및 기타 칼슘보급과 임신ㆍ수유기, 발육기, 노년기의 비타민 D의 보급 및 뼈, 이의 발육불량, 구루병의 예방에 사용.","저녁 식사 후 바로 2정을 복용하고 부족시에는 아침, 점심 식후 바로 1정씩 복용. 1일 4정을 초과하지 않습니다."
35,K-002824,신일이부프로펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1 / 2 정~1.5정, 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정, 1일 3~4회 복용. 11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여. 체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직. 권장용량을 초과하여 복용하지 마십시오."
36,K-002942,엘칸정,"1차성, 2차성 카르니틴결핍증과 협심증, 급성심근경색 같은 허혈성 심질환에 의한 심근대사장애에 사용.","성인은 1일 2~3 g을 1일 2~3회 분할하여 복용. 연령, 증상에 따라 적절히 증감할 수 있습니다."
37,K-003017,프로트린정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정, 1일 2회, 급성통풍에는 초회량으로 3정 복용하고 발작이 없어질때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에는 초회량으로 2정을 복용한 후 6~8시간간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에는 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 복용할 수 있으며 초회량의 복용 30분 후에 복용. 1일 총용량이 5정을 초과하지 않도록 ."
38,K-003078,뮤코스텐캡슐,"급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증 질환에서의 객담배출곤란에 사용.","낭성섬유증에 6세 이상은 1회 2캡슐씩, 1일 3회 식전에 소량의 물과 함께 복용."
39,K-003329,메카인정,멀미에 의한 어지러움·구토·두통 등의 예방 및 완화에 사용.,만 15세 이상 및 성인은 멀미의 예방에는 승차 30분에서 1시간 전에 1회 1정을 복용. 필요시 추가복용 할 경우에는 1회 1정을 4시간 이상 간격을 두고 복용하며 1일 복용회수는 2회를 한도로 .
40,K-003746,토파제정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.","만 15세 이상 및 성인은 1회 2정씩, 1일 3회 식후에 복용."
41,K-004030,종근당알벤다졸정,"회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용.","성인 및 24개월 이상의 소아는 요충에 감염된 경우 1일 1회, 1정 복용. 박멸을 위하여 7일 뒤, 한번만 더 1정을 복용. 회충, 십이지장충, 편충, 아메리카구충에 감염된 경우 1정을 단회 복용. 분선충의 다른 기생충과 중증 혼합 감염 시 1일 1회 1정씩, 3일간 복용. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다."
42,K-004168,비오라민정,"육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 신경통, 근육통, 관절통 등) 증상의 완화, 각기, 눈의 피로에 사용.","성인은 1회 1정씩, 1일 2회 복용."
43,K-004268,듀오락스정,"변비와 변비에 수반하는 식욕부진, 복부팽만, 장내이상발효, 치질의 완화에 사용.","만 15세 이상 및 성인은 1회 3정씩, 만 11세 이상~만 15세 미만은 1회 2정씩, 1일 1회 취침시에 복용. 단, 처음은 최소량을 복용하고, 변의 모양과 상태를 보면서 조금씩 증량 또는 감량하십시오."
44,K-004378,타이레놀정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","만 12세 이상의 소아 및 성인은 1회 1~2정씩, 1일 3~4회  필요시 복용. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하십시오."
45,K-004379,어린이용타이레놀정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",1일 5회를 초과하지 않음. 몸무게에 따라 10~15 mg/kg 복용 권장. 만 12세 이하 소아: 4~6시간마다 필요시 복용.
46,K-004548,큐자임정,"식욕감퇴, 위부팽만감, 소화불량, 과식, 체함, 구역, 구토, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.","성인 및 15세 이상은 1회 1정, 1일 3회 식후에 복용."
47,K-004617,알콤정,"회충, 요충, 편충, 십이지장충의 감염 및 이들 혼합감염의 치료에 사용.",성인 및 소아는 1정을 1회 복용.
48,K-004637,삼남아세트아미노펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인은 1회 300~1,000 mg을 1일 3~4회 복용. 1일 최고 4,000 mg까지 투여할 수 있습니다. 연령, 증상에 따라 적절히 증감."
49,K-004799,타이레놀정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",1일 5회를 초과하지 않음. 몸무게에 따라 10~15 mg/kg 복용 권장. 만 12세 이하 소아: 4~6시간마다 필요시 복용.
50,K-005025,셀라펜정,"신경통, 근육통, 관절통, 요통, 염좌통, 견통, 근경련, 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용.","성인은 1회 2정 1일 4회까지 공복을 피하여 복용. 연령, 증상에 따라 적절히 증감."
51,K-005094,삼남건조수산화알루미늄겔정,"위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선에 사용.","성인은 1회 1~2정, 1일 3회 식간에 복용. 연령, 증상에 따라 적절히 증감."
52,K-005223,신일티아민염산염정,"비타민 B1 결핍증의 예방 및 치료에 사용하며 소모성 질환, 갑상선기능항진증, 임산부, 수유부, 심한 육체노동 시 비타민 B1의 수요가 증대하여 식사로부터의 섭취가 불충분한 경우의 보급, 베르니케뇌병증, 각기, 비타민 B1 결핍 또는 대사장애가 관여한다고 추정되는 근육통, 관절통, 신경통, 말초신경염, 말초신경마비에 사용.","성인은 1회 1～10 mg씩, 1일 1~3회 복용."
53,K-005466,베스자임정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인은 1회 1정 1일 3회 식후에 복용.
54,K-005556,바이탈씨에프정,"육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시, 노년기의 비타민B2, B6, C, E의 보급과 햇볕ㆍ피부병 등에 의한 색소침착의 완화, 잇몸출혈, 비출혈 예방에 사용.","만 8세 이상 및 성인은 1회 1정씩, 1일 2회 입안에서 녹이거나 씹어서 복용."
55,K-005676,복합파자임이중정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인 및 15세 이상은 1회 1~2정 1일 3회 식후에 복용.
56,K-005849,무스판정,"위장관계 질환의 발작성 동통 또는 담도계, 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통에 사용.",성인은 1회 1~2정 1일 3회 복용. 1일 최대용량은 6정을 초과하지 마십시오.
57,K-005886,타이레놀이알서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
58,K-006025,세트린정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 중등도~중증의 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
59,K-006064,알레리진정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
60,K-006235,코나진정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
61,K-006250,알메텍정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
62,K-006284,애니탈삼중정,"소화성 궤양에 따른 다음 증상의 개선: 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체, 구역,구토, 위통, 신트림, 소화불량에 사용.",성인은 1회 2정 1일 3회 매 식간에 복용.
63,K-006287,노타민정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
64,K-006323,아루텍정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
65,K-006432,알티린정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
66,K-006435,질러탈정,알레르기성 비염과 만성 두드러기를 치료.,"만 6세 이상 및 성인은 1회 1정씩, 1일 1회 취침 전에 복용. 이상반응에 민감한 환자의 경우, ½정씩, 아침, 저녁에 분할하여 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
67,K-006456,로텍정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
68,K-006544,코졸텍정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
69,K-006562,로리딘정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
70,K-006697,씨즈날정,알레르기성 비염과 만성 두드러기를 치료.,"만 6세 이상 및 성인은 1회 1정씩, 1일 1회 취침 전에 복용. 이상반응에 민감한 환자의 경우, ½정씩, 아침, 저녁에 분할하여 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
71,K-006886,엑티리딘정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인은 1회 1정, 소아는 1회 1 / 2 정을 1일 3회 매 식후에 복용."
72,K-006977,트라몰시간서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
73,K-007024,훼스탈플러스정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.","성인 및 15세 이상은 1회 1~2정, 만 8세~만 15세의 소아는 1회 1정을 1일 3회 식후에 씹지말고 복용."
74,K-007235,나프록스정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정, 1일 2회, 급성통풍에는 초회량으로 3정 복용하고 발작이 없어질때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에는 초회량으로 2정을 복용한 후 6~8시간간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에는 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 복용할 수 있으며 초회량의 복용 30분 후에 복용. 1일 총용량이 5정을 초과하지 않도록 ."
75,K-007317,나프롱정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정, 1일 2회, 급성통풍에는 초회량으로 3정 복용하고 발작이 없어질때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에는 초회량으로 2정을 복용한 후 6~8시간간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에는 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 복용할 수 있으며 초회량의 복용 30분 후에 복용. 1일 총용량이 5정을 초과하지 않도록 ."
76,K-007339,쎄로테정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
