category_id,drug_N,품목기준코드,제품명,제조/수입사,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약을 사용하기 전에 반드시 알아야 할 내용은 무엇입니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?,Unnamed: 12
39,K-003329,199100996,메카인정,태극제약(주),이 약은 멀미에 의한 어지러움·구토·두통 등의 예방 및 완화에 사용합니다.,만 15세 이상 및 성인은 멀미의 예방에는 승차 30분에서 1시간 전에 1회 1정을 복용합니다. 필요시 추가복용 할 경우에는 1회 1정을 4시간 이상 간격을 두고 복용하며 1일 복용회수는 2회를 한도로 합니다.,,"만 12세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 약에 과민증(발진, 충혈되어 붉어짐, 가려움 등) 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 허약자, 노인, 심장애, 녹내장(눈의 통증, 눈의 침침함), 배뇨장애, 폐기종 혹은 만성 기관지염과 같은 호흡기 질환 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","다른 진토제, 감기약, 해열진통제, 항히스타민제, 진정제, 진해거담제, 위장진통·진경제 등과 함께 복용하지 마십시오. 복용 중에는 알코올성 음료를 피하십시오.","발진, 발적, 가려움, 심계항진(두근거림), 두통, 안면홍조, 눈부심, 배뇨장애, 구갈 또는 변비 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
40,K-003746,199201154,토파제정,(주)메디카코리아,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","만 15세 이상 및 성인은 1회 2정씩, 1일 3회 식후에 복용합니다.",,"만 7세 이하의 어린이, 대두유·콩·땅콩 과민증 또는 알레르기 반응 경험자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질, 고지단백혈증, 당뇨병성고지질혈증 및 췌장염 등 지방대사 이상 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",다른 정주용 지질제와 함께 복용 시 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
41,K-004030,199300217,종근당알벤다졸정,(주)종근당,"이 약은 회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용합니다.","성인 및 24개월 이상의 소아는 요충에 감염된 경우 1일 1회, 1정(400 mg) 복용합니다. 박멸을 위하여 7일 뒤, 한번만 더 1정(400 mg)을 복용합니다. 회충, 십이지장충, 편충, 아메리카구충에 감염된 경우 1정(400 mg)을 단회(1회) 복용합니다. 분선충의 다른 기생충(조충)과 중증(심한증상) 혼합 감염 시 1일 1회 1정(400 mg)씩, 3일간 복용합니다. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다.",,"이 약에 과민증 환자, 임부 및 임신하고 있을 가능성이 있는 여성 및 수유부, 2세 미만의 소아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애, 신장애 환자, 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.","이 약을 복용하는 동안 테오필린, 시메티딘, 프라지콴텔, 덱사메타손, 리토나비르, 페니토인, 카르바마제핀, 페노바르비탈을 함께 복용하지 마십시오.","피부점막안증후군(스티븐스-존슨증후군), 다형홍반(여러 모양의 붉은 반점), 구역, 구토, 속쓰림, 설사, 상복부(배부분) 또는 복부(배부분) 통증, 두통 및 어지럼, 발열, 전신 발적(충혈되어 붉어짐), 발진, 가려움, 두드러기 등의 과민반응, 가역적인(회복 가능한) 탈모증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
42,K-004168,199301198,비오라민정,명인제약(주),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 신경통, 근육통, 관절통(요통, 견통(어깨결림) 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다.",,"이 약에 과민증 환자, 만 3개월 미만의 영아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 통풍 또는 신장결석, 황색5호에 과민증 환자 또는 경험자, 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다. 1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","레보도파, 에스트로겐을 포함한 경구용 피임제와 함께 복용하지 마십시오.","위부(상복부)불쾌감, 설사, 변비, 발진, 발적(충혈되어 붉어짐), 구역, 구토, 묽은변, 구내염(입안염), 식욕부진, 복부팽만감, 생리가 예정보다 빨라지거나 양이 점점 많아지거나, 출혈이 오래 지속 되는 증상이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
43,K-004268,199302061,듀오락스정,영일제약(주),"이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질의 완화에 사용합니다.","만 15세 이상 및 성인은 1회 3정씩, 만 11세 이상~만 15세 미만은 1회 2정씩, 1일 1회 취침시(또는 공복시)에 복용합니다. 단, 처음은 최소량을 복용하고, 변의 모양과 상태를 보면서 조금씩 증량 또는 감량하십시오.",,"만 7세 이하의 어린이, 급성 복부질환(충수염, 장출혈, 궤양성 결장염 등), 장폐색(창자막힘), 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 한 임부 또는 임신하고 있을 가능성이 있는 여성, 만 10세 이하의 어린이, 심한 복통(배 아픔) 또는 구역, 구토, 직장의 출혈 혹은 장부전 경험자, 황색4호 및 황색5호에 과민증 환자 또는 경험자, 나트륨 제한 식이를 하고 있는 사람은 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오. 복용 시 정제를 씹지 마십시오. 1주일 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",제산제와 함께 복용하지 마십시오. 우유 섭취 후 1시간 이내는 복용을 피하십시오.,"발진·발적(충혈되어 붉어짐), 가려움, 심한 복통(배아픔), 설사, 구토, 복부불쾌감, 경련이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
44,K-004378,199303108,타이레놀정,(주)한국얀센,"이 약은 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)과 치통, 관절통, 류마티양 동통(통증)에 사용합니다.","만 12세 이상의 소아 및 성인은 1회 1~2정씩, 1일 3~4회 (4~6시간 마다) 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하십시오.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스- 존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 소염진통제에 의한 천식 경험 환자, 바르비탈계 약물, 삼환계 항우울제 복용한 환자, 알코올을 복용한 사람은 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애, 신장(콩팥)장애, 소화성궤양, 혈액이상, 출혈경향, 심장기능이상, 과민증 경험자, 기관지천식, 노인, 임부 또는 수유부는 의사 또는 약사와 상의하십시오. 의사 또는 약사의 지시없이 통증에 10일 이상(성인) 또는 5일 이상(소아) 복용하지 않고 발열에 3일 이상 복용하지 않습니다.","다른 소염(항염)진통제, 아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 와파린, 리튬, 티아지드계 이뇨제를 복용한 환자는 의사 또는 약사와 상의하십시오.",,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
45,K-004379,199303109,어린이용타이레놀정,(주)한국얀센,"이 약은 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)과 치통, 관절통, 류마티양 동통(통증)에 사용합니다.","만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회(75 mg/kg)를 초과하여 복용하지 않습니다. 몸무게를 알 경우 몸무게에 따른 용량(10~15 mg/kg)으로 복용하는 것이 더 적절합니다. 연령대별 권장용량은 허가사항을 참고하십시오.",,"이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 천식 또는 경험자, 바르비탈계 약물 또는 삼환계 항우울제를 복용한 환자, 알코올을 복용한 사람은 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애 또는 경험자, 신장(콩팥)장애 또는 경험자, 소화성궤양의 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상이 있는 환자, 과민증의 경험자, 기관지 천식 환자, 노인, 만 2세 미만의 소아, 임부 또는 수유부는 의사 또는 약사와 상의하십시오. 통증이나 발열 증상이 지속되거나 악화될 경우, 또는 새로운 증상이 나타날 경우 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 티아지드계 이뇨제, 다른 소염진통제와 함께 복용 시 의사 또는 약사와 상의하십시오.",,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
46,K-004548,199400500,큐자임정,(주)유한양행,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인 및 15세 이상은 1회 1정, 1일 3회 식후에 복용합니다.",,"만 7세 이하의 어린이는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자, 고혈압, 노인, 신장(콩팥)장애, 부종(부기) 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,"요량이 감소하고, 얼굴과 손발이 붓고, 손이 굳어지고, 혈압상승, 두통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
47,K-004617,199400891,알콤정,일양약품(주),"이 약은 회충, 요충, 편충, 십이지장충의 감염 및 이들 혼합감염의 치료에 사용합니다.",성인 및 소아는 1정(500 mg)을 1회 복용합니다.,,"이 약에 과민증 환자, 임부는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 1세 미만의 영아, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 일과성 구역, 복통, 설사, 발진, 두드러기, 혈관부종 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
48,K-004637,199401030,삼남아세트아미노펜정,삼남제약(주),"이 약은 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)과 치통, 관절통, 류마티양 동통(통증)에 사용합니다.","성인은 1회 300~1,000 mg을 1일 3~4회 복용합니다. 1일 최고 4,000 mg까지 투여할 수 있습니다. 연령, 증상에 따라 적절히 증감합니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 소화성 궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 천식(비스테로이드성 소염제에 의한 천식발작) 또는 경험자, 바르비탈계 약물, 삼환계 항우울제를 복용한 환자, 알코올을 복용한 사람은 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애 또는 경험자, 신장(콩팥)장애 또는 경험자, 소화성궤양의 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상이 있는 환자, 과민증의 경험자, 기관지 천식 환자, 노인, 임부 또는 수유부는 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 티아지드계 이뇨제, 다른 소염진통제와 함께 복용 시 의사 또는 약사와 상의하십시오.",,빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
49,K-004799,199402278,타이레놀정,(주)한국얀센,"이 약은 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)과 치통, 관절통, 류마티양 동통(통증)에 사용합니다.","만 12세 이하의 소아는 1회 권장용량을 4~6시간 마다 필요시 복용합니다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회 (75 mg/kg)를 초과하여 복용하지 않습니다. 몸무게를 알 경우 몸무게에 따른 용량(10~15 mg/kg)으로 복용하는 것이 더 적절합니다. 연령대별 권장용량은 허가사항을 참고하십시오.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스- 존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 소염진통제에 의한 천식 경험자, 바르비탈계 약물 또는 삼환계 항우울제를 복용한 환자, 알코올을 복용한 사람, 갈락토오스불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애 또는 경험자, 신장(콩팥)장애 또는 경험자, 소화성궤양의 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상이 있는 환자, 과민증의 경험자, 기관지 천식 환자, 노인, 만 2세 미만의 소아, 임부 또는 수유부는 의사 또는 약사와 상의하십시오. 통증이나 발열 증상이 지속되거나 악화될 경우, 또는 새로운 증상이 나타날 경우 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오. 와파린, 리튬, 티아지드계 이뇨제, 다른 소염진통제와 함께 복용 시 의사 또는 약사와 상의하십시오.",,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
50,K-005025,199500536,셀라펜정,알리코제약(주),"이 약은 신경통, 근육통, 관절통, 요(허리)통, 염좌통(삔 통증), 견통(어깨결림), 근경련(근육경련), 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용합니다.","성인은 1회 2정 1일 4회까지 공복을 피하여 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"이 약 또는 클로르족사존에 과민증 환자, 과민증상(발진, 충혈되어 붉어짐, 가려움, 후두, 눈꺼풀, 입술의 부기) 경험자 및 다른 감기약, 해열진통제 사용 시 천식 경험자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자가 이 약을 함께 복용 시 의사 또는 약사와 상의하십시오.","두드러기, 발적(충혈되어 붉어짐), 가려움증, 알레르기성 피부발진, 점상출혈(출혈점), 반상출혈(피부에 검보랏빛 얼룩점이 생기는 내부출혈), 요변색, 매우 드물게 혈관신경성 부기 또는 아나필락시스 증상, 간기능 이상 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위장장애, 졸음, 어지러움, 두통, 권태, 과도한 흥분, 드물게 위장출혈이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
51,K-005094,199501099,삼남건조수산화알루미늄겔정,삼남제약(주),"이 약은 위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1~2정(300~600 mg), 1일 3회 식간에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"투석요법을 받고 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 인산염 결핍, 신장애 환자, 신장병 경험자는 의사 또는 약사와 상의하십시오. 장기연용을 하지 마십시오.","테트라사이클린계 항생물질을 함께 복용하지 마십시오. 이 약의 흡착작용 또는 소화관내, 체액의 pH상승에 의해 함께 복용하는 약물의 흡수, 배설에 영향을 줄 수 있습니다.","때때로 변비 드물게 구역, 구토 등이 나타날 수 있습니다.",실온에서 보관하십시오.,
52,K-005223,199501953,신일티아민염산염정,신일제약(주),"이 약은 비타민 B1 결핍증의 예방 및 치료에 사용하며 소모성 질환, 갑상선기능항진증, 임산부, 수유부, 심한 육체노동 시 비타민 B1의 수요가 증대하여 식사로부터의 섭취가 불충분한 경우의 보급, 베르니케뇌병증, 각기, 비타민 B1 결핍 또는 대사장애가 관여한다고 추정되는 근육통, 관절통, 신경통, 말초신경염, 말초신경마비에 사용합니다.","성인은 1회 1～10 mg씩, 1일 1~3회 복용합니다.",,이 약에 과민증 환자는 이 약을 복용하지 마십시오. 정해진 용법과 용량을 잘 지키십시오. 1개월 정도 투여하여도 증상의 개선이 없거나 악화될 경우에는 의사 또는 약사와 상의하십시오.,,"발열, 가려움, 두드러기, 무기력함, 발한, 구역, 청색증, 호흡기부종, 위장관출혈 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
53,K-005466,199600246,베스자임정,동아에스티(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1정 1일 3회 식후에 복용합니다.,,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.",,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
54,K-005556,199600581,바이탈씨에프정,(주)유한양행,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민B2, B6, C, E의 보급과 햇볕ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈, 비출혈(코피) 예방에 사용합니다.","만 8세 이상 및 성인은 1회 1정씩, 1일 2회 입안에서 녹이거나 씹어서 복용합니다.",이 약은 체내에서 페닐알라닌으로 대사되는 아스파탐이 함유되어 페닐알라닌의 섭취를 규제할 필요가 있는 페닐케톤뇨증 환자는 복용하지 마십시오.,"이 약에 과민증 환자, 만 3개월 미만의 젖먹이는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 만 1세 미만의 젖먹이, 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 통풍 또는 신장(콩팥)결석 환자, 혈전(혈관막힘)성 소인이 있는 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오. 각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",레보도파와 함께 복용하지 마십시오. 에스트로겐을 포함한 경구용 피임제와 함께 복용 시 의사 또는 약사와 상의하십시오.,"구역, 구토, 설사, 식욕부진, 복부(배부분)팽만감, 위부불쾌감, 변비, 발진, 발적(충혈되어 붉어짐), 생리가 예정보다 빨라지거나 양이 점점 많아지거나, 출혈이 오래 지속 되는 증상이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
55,K-005676,199601520,복합파자임이중정,부광약품(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인 및 15세 이상은 1회 1~2정 1일 3회 식후에 복용합니다.,,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자, 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
